booking_id,user_id,user_name,court_id,court_name,venue_id,venue_name,city,sport_type,date,day_of_week,month,is_weekend,time_slot,start_time,end_time,time_of_day,price,payment_method,payment_status,status,total_amount
1,18,User18,1,Court A,1,Colombo Sports Arena,Colombo,football,2025-01-01,Wednesday,1,0,2,09:00,10:00,morning,1500,cash,pending,confirmed,1500
2,6,User6,1,Court A,1,Colombo Sports Arena,Colombo,football,2025-01-01,Wednesday,1,0,6,15:00,16:00,afternoon,1500,cash,pending,confirmed,1500
3,42,User42,1,Court A,1,Colombo Sports Arena,Colombo,football,2025-01-01,Wednesday,1,0,7,16:00,17:00,afternoon,1500,online,paid,confirmed,1500
4,1,User1,1,Court A,1,Colombo Sports Arena,Colombo,football,2025-01-01,Wednesday,1,0,9,18:00,19:00,evening,1500,online,paid,confirmed,1500
5,25,User25,2,Court B,1,Colombo Sports Arena,Colombo,football,2025-01-01,Wednesday,1,0,4,11:00,12:00,morning,1500,cash,paid,confirmed,1500
6,15,User15,3,Court C,2,Kandy Indoor Courts,Kandy,football,2025-01-01,Wednesday,1,0,6,15:00,16:00,afternoon,1200,online,pending,cancelled,1200
7,41,User41,4,Court D,3,Galle Futsal Center,Galle,football,2025-01-01,Wednesday,1,0,7,16:00,17:00,afternoon,1000,cash,pending,confirmed,1000
8,21,User21,1,Court A,1,Colombo Sports Arena,Colombo,football,2025-01-02,Thursday,1,0,6,15:00,16:00,afternoon,1500,cash,paid,confirmed,1500
9,32,User32,1,Court A,1,Colombo Sports Arena,Colombo,football,2025-01-02,Thursday,1,0,9,18:00,19:00,evening,1500,cash,paid,confirmed,1500
10,16,User16,1,Court A,1,Colombo Sports Arena,Colombo,football,2025-01-02,Thursday,1,0,10,19:00,20:00,evening,1500,online,paid,confirmed,1500
11,32,User32,2,Court B,1,Colombo Sports Arena,Colombo,football,2025-01-02,Thursday,1,0,6,15:00,16:00,afternoon,1500,cash,pending,confirmed,1500
12,25,User25,2,Court B,1,Colombo Sports Arena,Colombo,football,2025-01-02,Thursday,1,0,10,19:00,20:00,evening,1500,cash,pending,confirmed,1500
13,35,User35,3,Court C,2,Kandy Indoor Courts,Kandy,football,2025-01-02,Thursday,1,0,4,11:00,12:00,morning,1200,online,paid,confirmed,1200
14,1,User1,3,Court C,2,Kandy Indoor Courts,Kandy,football,2025-01-02,Thursday,1,0,7,16:00,17:00,afternoon,1200,online,paid,confirmed,1200
15,33,User33,3,Court C,2,Kandy Indoor Courts,Kandy,football,2025-01-02,Thursday,1,0,8,17:00,18:00,evening,1200,online,paid,confirmed,1200
16,41,User41,3,Court C,2,Kandy Indoor Courts,Kandy,football,2025-01-02,Thursday,1,0,9,18:00,19:00,evening,1200,cash,paid,confirmed,1200
17,49,User49,3,Court C,2,Kandy Indoor Courts,Kandy,football,2025-01-02,Thursday,1,0,10,19:00,20:00,evening,1200,cash,pending,cancelled,1200
18,24,User24,4,Court D,3,Galle Futsal Center,Galle,football,2025-01-02,Thursday,1,0,5,14:00,15:00,afternoon,1000,online,paid,confirmed,1000
